6863111119024737537,33.089,33.089,1166
6856619668719799558,17.759862,59.049,1149
5925559746128907526,17.018,17.018,1132
6844492201892859141,15.115,15.115,1117
5927147240498793733,31.777801,31.777801,1085
6847190750699080965,12.14644,12.14644,1073
6837292828096285954,5.858193,10.658,1067
6858822794923330821,25.951012,50.99,1041
6860143958425668865,8.336,8.336,1032
6860155047129386246,15.092,15.092,1017
6855218600534494469,9.194,9.194,1008
6857271691547036934,31.772512,53.128,976
6860230790056365317,6.580455,15.115,970
6842907770019171589,8.73,8.73,961
6853959709934898437,13.861,13.861,947
6864963075179646213,11.663107,11.663107,936
6863885224028196101,11.702,11.702,924
6853657773838765317,9.335,9.335,915
6851914052877192454,3.419545,20.016,911
6842458127372176641,4.554119,16.487,907
6848052220324236550,55.543508,59.06,851
6863815206565416197,15.185,15.185,836
6864273492435668230,10.1,10.1,826
6853891418943933702,17.995,17.995,808
6863887694242581766,9.821,9.821,798
6863818179341225222,12.631,12.631,785
6862416431200455942,11.632,11.632,774
6859854105439915270,9.542,9.542,764
6864716477107342598,36.507884,49.899,728
6863153800111328517,8.567,8.567,719
countdown,2.62157,10.065011,716
6851671878424169733,8.149,8.149,708
6864632754554850565,4.539723,43.397,704
6838617182075636997,10.891,10.891,693
6855318504300760325,10.053,10.053,683
6859181215681891589,13.679773,13.679773,669
6841473906084171014,10.287,10.287,659
6843139365019897094,59.094,59.094,600
6856133321664023814,6.361,6.361,593
6853449773937167621,7.196168,59.117,586
6842420160310037766,13.722,13.722,572
6859784074291121414,9.542,9.542,563
6859177741640649989,10.293175,13.699,553
6856458277388061958,45.667,45.667,507
6862726942580313350,7.702889,56.493,499
6844495216481766661,7.60724,14.461,492
6860585361513450757,15.703133,53.73,476
6841949116134640902,15.022,15.022,461
6837729565700328710,10.171,10.171,451
6863636827929087238,14.535,14.535,436
6844217927911197958,14.094,14.094,422
6852476347357433093,14.21,14.21,408
countdown,1.812559,10.065011,406
6842089303158443269,8.544,8.544,398
countdown,1.57277,10.065011,396
6864243056003157253,8.637,8.637,387
6862236771804024069,11.168,11.168,376
6842851100790394118,15.092,15.092,361
6864789300324732166,8.126,8.126,353
6862073124251356421,31.479773,31.479773,321
6857081848766500097,10.402,10.402,311
6864414599312133381,20.061,20.061,291
6863714223021706502,59.047,59.047,232
6854280632550313222,11.683103,12.979773,220
6862838595594587398,11.179773,11.179773,209
6860653620690439429,25.735345,57.12,183
6864714280843906310,11.391268,11.391268,172
6863819095691775237,18.64644,18.64644,153
6863663621667392773,15.092,15.092,138
6862017000311393542,2.034293,59.047,136
6860595151258144005,12.213107,12.213107,124
6839879071011228934,13.234,13.234,111
6856240596579929349,9.162638,53.869,102
6859279439499513093,12.05,12.05,90
6862300715591781634,6.279773,6.279773,83
6863923419998620933,13.744207,15.115,69
6864830921460305158,1.157406,48.879,68
6851946342680366342,10.627508,56.168,58
6864561882053807365,13.173814,15.313107,45
6840361628588870917,11.121,11.121,33
6863098446757301510,15.115,15.115,18
6852773175143435525,13.768,13.768,5
6856855411681660166,0.910155,58.583,4
