v12044gd0000cbp4k4jc77uei4ggnkgg,17.413,17.413,1182
v12044gd0000cbph26rc77u34v8dg5qg,3.635909,11.769,1178
v12044gd0000cc59o9bc77uemfne50ag,3.02254,9.354,1175
v12044gd0000cc74h2rc77u1st4mp6og,1.234593,8.518,1174
v10033g50000cb85h0rc77u6u2gh8nrg,6.145759,14.381,1168
v12044gd0000cbsfgd3c77uda8uoqb0g,19.594,19.594,1148
v12044gd0000cc37h5bc77uei4lt5vog,15.391,15.391,1133
v12044gd0000cbeoabbc77u4r0ubjjlg,1.018295,20.592,1132
v12044gd0000cbndm8jc77ue0st1240g,6.684,6.684,1125
v10044g50000cb5ml2bc77uamsm3fga0,2.662223,76.924,1123
v12044gd0000cc7qc8bc77u1qf6i2nug,15.345,15.345,1107
v12044gd0000cb7fscrc77u1lqtaclrg,1.140267,15.321,1106
v09025g40000cbvhkvbc77ubgcrplbh0,0.914969,8.92,1105
countdown,2.705498,10.065011,1103
v12044gd0000cc60re3c77uemfggbo4g,6.221,6.221,1096
v12044gd0000cbpd11bc77ue0svv7u0g,14.927,14.927,1081
v12044gd0000cc2btb3c77uda8uisrr0,1.375394,59.3,1080
v12044gd0000cb1ktrbc77u08prlf2g0,2.578716,5.779,1077
v12044gd0000cbnbp4rc77ucjb65t5m0,15.136,15.136,1062
v12044gd0000cahtnkjc77u10vigl8r0,3.993324,8.007,1058
v12044gd0000casm0nrc77u6u689brs0,1.225682,42.628,1057
v09044g40000cc4s6erc77u9u096bcn0,2.1521,7.357,1055
v12044gd0000cbspa2bc77ubj93jobeg,2.926357,16.25,1052
v12044gd0000cacgl83c77udmjsdhba0,23.634,23.634,1028
v12044gd0000cc6us4rc77uegdmf8l7g,6.289,6.289,1022
v12044gd0000cc168hbc77u5nanruj90,12.767,12.767,1009
v12044gd0000cbhg8j3c77uei4mbbal0,2.084842,8.889,1007
v12044gd0000cc41kl3c77u8ccuvb250,51.614,51.614,956
v10044g50000cb8mvpbc77u88sremi4g,16.25,16.25,939
v12044gd0000cc5leerc77u6pg0l2330,6.134,6.134,933
v12044gd0000cc03dl3c77u2b8qqhibg,23.659,23.659,910
v12044gd0000cc5pi5bc77u2b8q67qtg,8.263,8.263,901
v12044gd0000cc3ero3c77u6pg5sejm0,1.355165,15.298,900
v12044gd0000cc7837bc77uckv35k900,1.513192,20.569,898
v12044gd0000cbsul8bc77u579nl3ujg,3.164879,11.838,895
v12044gd0000cc28fcjc77uemfjl4osg,6.800167,19.756,889
v09044g40000cc1afvjc77u0s4do5470,3.478211,6.964,885
v12044gd0000cbp73q3c77u1qf3f5v3g,2.410816,10.213,883
v09044g40000cc1heebc77udtjqkki50,0.897885,17.527,882
v12044gd0000caj9jibc77udr9dponv0,68.449,68.449,813
v12044gd0000cc1bg4bc77ua190ojpt0,15.159,15.159,798
v09044g40000cbfalu3c77u6ad8brffg,109.594,109.594,689
v12044gd0000cbu89vjc77ua9qnb8aqg,14.23,14.23,674
v10044g50000cc69jarc77u3v0ahlep0,1.43035,5.245,673
v10033g50000cbmlbq3c77uflrfggha0,1.584265,6.339,671
v12044gd0000cbuknsjc77ucjb0113c0,22.403,22.403,649
v12044gd0000cal3mj3c77u9eu3o8e6g,1.356271,8.193,648
v12044gd0000cc9tl3jc77u8ud9nc2r0,23.17,23.17,624
v09044g40000cc6agrrc77uc1bfhiv5g,3.768884,9.841,621
v10044g50000calkfcrc77u6b1br1u90,3.040858,14.834,618
v12044gd0000cc6h6cjc77ud7odra3t0,6.634505,27.001,611
v09025g40000cc37e8bc77u9mmfc8in0,0.888775,69.251,610
v10033g50000camd2k3c77u758jcsc60,51.337,51.337,559
v12044gd0000cbogfcrc77u2121sqing,19.572,19.572,539
v12044gd0000cbqn3grc77u6pg27sbcg,3.030323,21.337,536
v12044gd0000cc41ni3c77u7m554jhb0,15.321,15.321,521
v12044gd0000cc5rnd3c77u1st36tgi0,22.055,22.055,499
v12044gd0000cc62h4bc77uegdli43dg,1.18301,22.961,498
v12044gd0000cbu32f3c77u7qm1unhb0,1.653371,5.779,496
v09044g40000cbtib8rc77ufj5jdi9m0,0.665433,51.569,495
v09044g40000cb0tl3bc77ud32peg24g,1.141646,9.216,494
v10033g50000cbkmoijc77u1svm4l2d0,15.363,15.363,479
v12044gd0000cbobi13c77ud2dudhn0g,1.167331,20.105,478
v12044gd0000cc1494jc77uemfhvrojg,3.405622,17.109,474
v12044gd0000ccagrcbc77ua194aje90,9.702,9.702,464
v12044gd0000cbsofu3c77ud2dsfhfqg,2.133317,26.56,462
v09044g40000caf6hnjc77u9ggupadog,11.656414,19.873,451
v12044gd0000cagur6jc77u6h25cfqm0,1.518806,10.307,449
v09044g40000cbo8p53c77u3g4pnvtjg,0.6646,60.925,448
v12044gd0000cc3oscjc77ucjb6l027g,21.173,21.173,427
v10044g50000cc4sntrc77ub1o42dvc0,21.151,21.151,406
v09044g40000cbrtsc3c77uaod591lgg,5.547,5.547,401
v09044g40000cc0063rc77ua02avdu30,1.039058,13.93,400
v09044g40000cb1vrlbc77u9uvrm2ti0,73.418,73.418,326
v12044gd0000cc266fjc77u2b8to817g,15.462,15.462,311
v09044g40000cc367j3c77ue59c9hmpg,127.358,127.358,183
v12044gd0000cbnt8bbc77u5najahmng,1.172542,6.8,182
v12044gd0000ccb820jc77ue0spk2v1g,6.128,6.128,176
v09044g40000cbql0qjc77u0uamnhl3g,3.07551,12.094,173
v12044gd0000cbg1iljc77udfdkqded0,25.538,25.538,147
v12044gd0000cbpraqjc77u74o2c74gg,1.140037,14.673,146
v12044gd0000cc6c83bc77u1st3ru900,2.16414,7.382,144
v12044gd0000cat6iejc77u77bdlnhk0,8.826,8.826,135
v12044gd0000cc0hm6bc77ua197gbdm0,78.085,78.085,57
countdown,0.757978,10.065011,56
v12044gd0000cbs6l4rc77ua5706vqu0,12.535,12.535,44
v12044gd0000cc3ldvbc77u9gq1p39o0,36.939,36.939,7
